사용월,호선명,지하철역,04시-05시 하차인원,05시-06시 하차인원,06시-07시 하차인원,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,10시-11시 하차인원,11시-12시 하차인원,12시-13시 하차인원,13시-14시 하차인원,14시-15시 하차인원,15시-16시 하차인원,16시-17시 하차인원,17시-18시 하차인원,18시-19시 하차인원,19시-20시 하차인원,20시-21시 하차인원,21시-22시 하차인원,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,01시-02시 하차인원,02시-03시 하차인원,03시-04시 하차인원
202005,1호선,서울역,16,5920,37191,80358,170533,114126,55958,47869,49303,51283,49860,50831,51102,60380,63184,45583,31079,25122,18647,10959,1427,0,0,0
202005,1호선,시청,1,3131,15686,57041,138115,67596,27971,26249,22574,22013,18517,16094,13771,14576,15487,7610,4267,3807,2630,1755,143,1,1,0
202005,1호선,신설동,8,2319,7808,21995,60926,35914,20417,18065,18266,19213,18000,18266,18646,21133,25131,17589,11410,10674,9619,6938,663,0,0,0
202005,1호선,제기동,0,2004,8832,17262,38379,36631,35818,40557,38148,39596,42653,37148,29100,23727,24917,17104,10642,9584,8410,5062,523,0,0,0
202005,1호선,종각,4,4160,23724,92171,209115,120714,53331,45394,40733,42700,36281,31772,30872,35132,43612,24381,10039,6528,4144,2735,161,0,1,0
202005,1호선,종로3가,22,2484,12520,24320,66473,73357,59967,58879,58437,58249,52199,44373,36765,33252,35091,19383,8733,5817,4165,3525,698,0,0,0
202005,1호선,종로5가,1,3562,15233,37360,96741,60684,49432,48395,47275,43658,42267,37485,30589,25688,22480,13120,6099,4646,3186,2131,290,1,0,0
202005,1호선,청량리(서울시립대입구),13,4125,12831,15331,32246,31191,34526,39902,39149,40945,44584,42738,39328,39758,47825,33336,20123,17918,16068,10376,1238,1,0,0
202005,2호선,강남,6,11358,49832,140403,292652,304796,144316,107248,104399,128265,111146,101949,101463,120804,168228,113554,54905,40681,32706,23348,11,0,0,0
202005,2호선,강변(동서울터미널),0,2626,20706,23137,41950,38078,37137,36444,40731,45872,48996,55000,61979,73692,110136,80554,53736,42081,42270,23737,747,0,2,0
202005,2호선,건대입구,14,2303,17646,23186,53153,39561,34766,38101,46473,55264,55687,59479,66151,88071,135122,103242,61797,53938,46456,29878,4271,0,0,0
202005,2호선,교대(법원.검찰청),3,7169,25919,53835,135263,125758,61517,50179,46660,52832,48893,43492,42359,51367,66890,43128,23489,19895,17443,11710,111,0,0,0
202005,2호선,구로디지털단지,11,7007,22861,69145,219360,139532,53994,43042,42980,49870,51680,59992,66972,97103,147841,123769,79372,77424,75205,47899,54,0,0,0
202005,2호선,구의(광진구청),0,1248,8898,13370,33875,21810,17898,17616,20107,22887,25287,30839,35182,48691,81751,63205,41682,38470,36947,20254,1604,0,0,0
202005,2호선,낙성대(강감찬),3,1860,8772,15611,32536,29155,23533,20710,23987,26374,28232,32303,37614,51743,87424,81001,50852,47103,47849,30834,17,0,0,0
202005,2호선,당산,3,3212,12365,25241,73561,38743,19305,17821,18953,21715,21589,23878,27718,39888,66156,47590,29877,27772,25479,17436,387,0,0,0
202005,2호선,대림(구로구청),12,3513,11203,20593,53479,35880,29190,28426,27652,28782,29564,36916,40422,56580,67859,50359,36791,45132,44713,22377,547,0,0,0
202005,2호선,도림천,0,283,723,3158,4985,1864,1138,1118,1700,1083,1526,1245,1485,1730,2293,1990,1300,1272,1009,685,87,0,0,0
202005,2호선,동대문역사문화공원(DDP),4,789,6977,18963,44699,28848,22190,24159,20488,21676,21242,18742,16808,17635,20327,23512,14765,10286,7960,7320,648,1,0,0
202005,2호선,뚝섬,0,1840,14452,26515,105943,61831,26331,21805,23758,26814,25339,24750,25758,28800,37925,25191,13728,11635,10372,7472,130,0,0,0
202005,2호선,문래,1,1689,9615,29989,106472,51684,21081,17505,18763,21193,19823,20276,22067,29127,46744,35793,19330,17100,15567,9218,616,0,0,0
202005,2호선,방배,0,3472,12005,24560,64257,40412,20509,16925,17999,19419,19968,19496,20845,27283,35072,26636,17106,15636,15842,9163,1,1,0,0
202005,2호선,봉천,1,1806,7240,10907,24013,20325,18793,19072,20646,22944,25343,32571,36340,48846,76837,66877,42905,39684,36496,23427,499,0,0,0
202005,2호선,사당,8,3231,28529,37139,58616,48498,39199,41598,42231,45566,46813,55610,70653,96316,141463,107578,63394,56996,54512,36152,3074,0,0,0
202005,2호선,삼성(무역센터),1,4527,38720,113633,270881,217806,82680,59190,51861,58564,51900,45347,44027,44683,52094,31891,15565,11905,10354,7305,4538,0,0,0
202005,2호선,상왕십리,1,633,5005,10644,30939,17801,11701,10300,11681,13714,13754,15331,18315,26328,42932,31195,20061,18437,16928,11807,46,2,0,0
202005,2호선,서울대입구(관악구청),19,2538,13184,24722,56264,57507,46283,42656,47277,53730,55065,61880,69839,96253,155636,138874,83499,76264,74844,55494,6395,0,0,0
202005,2호선,서초,0,4510,20353,43755,105494,84497,36877,26959,20848,24925,24885,18872,18755,19633,21703,14609,9475,8131,7748,4269,0,0,0,0
202005,2호선,선릉,1,6071,37063,100760,253776,194745,87323,56334,49777,57173,50685,43642,41293,46013,50978,34012,19652,15973,14002,8502,230,0,0,0
202005,2호선,성수,0,3461,26855,57685,221677,98465,37725,30992,32156,37578,35888,35605,35157,37894,47592,32118,18001,14117,13181,12605,4742,0,0,0
202005,2호선,시청,1,1302,12645,61612,177680,82885,22214,19128,17809,19492,16802,15464,13259,14260,14994,7304,3824,3216,2818,2423,115,0,0,0
202005,2호선,신답,1,94,584,980,1772,936,921,1108,1265,1351,1615,2150,2722,3529,7938,6264,2721,3028,2327,1782,32,0,0,0
202005,2호선,신당,2,1147,6848,15403,33218,21290,16672,17327,17457,18318,19356,20494,22156,27839,38504,28314,17992,16235,14868,10410,198,0,1,0
202005,2호선,신대방,1,2127,9357,16597,30132,20734,17178,18131,20511,23487,26485,34669,40189,55385,85347,74049,49817,53231,51693,32344,13,0,0,0
202005,2호선,신도림,29,5063,16875,38058,101763,63969,58425,54499,58318,61149,60270,66271,73228,95328,150538,116983,69230,62845,63622,45132,12988,1,0,0
202005,2호선,신림,18,4515,20205,29065,54627,49234,42195,43543,49982,57670,65533,81005,94886,131469,226196,204290,133708,123150,113518,82646,409,0,0,0
202005,2호선,신설동,0,379,1763,4773,12202,7554,5769,6048,6356,6563,6279,5606,4337,4510,4810,3705,2360,1970,1729,1289,375,1,0,0
202005,2호선,신정네거리,4,1697,6318,4412,11167,7700,6558,7838,8638,9787,10490,13521,15592,22300,37615,30217,17452,15045,13560,8971,818,0,0,0
202005,2호선,신촌,1,2368,13172,31615,69853,85681,52271,47372,51058,58760,52880,47690,48050,61654,87991,62184,33355,26885,24020,18304,146,0,0,0
202005,2호선,아현,0,959,6350,9701,17694,10863,8592,8390,9402,10380,11347,12330,14022,18221,25430,21209,13559,13226,12557,8100,38,1,1,0
202005,2호선,양천구청,0,859,2021,4732,8887,4790,4169,4279,5263,6522,6686,8604,10251,14949,24839,22595,13162,11349,10400,7697,806,0,0,0
202005,2호선,역삼,4,7013,38621,109296,283135,234435,91759,56881,48674,56707,48155,42965,37333,40620,47952,32877,19213,14946,11827,8408,4,0,0,0
202005,2호선,영등포구청,0,2945,12035,31154,104752,48621,24619,21554,22517,24178,23016,23474,25064,31942,48921,34943,20742,18761,17922,12248,784,0,0,0
202005,2호선,왕십리(성동구청),2,827,5357,9890,25131,16441,11985,13177,15007,17013,16989,18426,21683,30442,49678,34458,19769,16918,15773,12134,489,0,0,0
202005,2호선,용답,1,255,912,1700,2683,1321,1700,2020,2269,2662,2915,3633,4608,5257,9089,6630,4350,4609,4372,3052,7,0,0,0
202005,2호선,용두(동대문구청),0,179,875,2067,5291,3304,2932,3069,2830,3412,3781,3996,3786,3991,6386,4922,2780,2567,1873,1510,35,0,0,0
202005,2호선,을지로3가,0,1401,17605,58198,128467,61308,26567,20918,18482,21423,18959,16833,16830,19139,23749,13561,7099,4669,3572,2476,330,0,0,0
202005,2호선,을지로4가,3,951,10515,29326,68258,36628,22396,20026,18472,17642,17361,14896,12381,11001,9727,5673,2681,2238,1801,1322,150,0,0,0
202005,2호선,을지로입구,1,1852,20414,103779,252416,131870,56071,48149,40680,39940,35051,31970,29310,32411,35334,19077,10813,9066,7622,5285,3457,0,1,0
202005,2호선,이대,0,1562,10927,9138,27708,27760,18864,15305,16548,19792,17747,16101,16683,18994,26889,20384,12454,11473,11135,8726,80,0,0,0
202005,2호선,잠실(송파구청),3,5278,30538,66536,150005,122532,74263,75216,78139,84763,83495,88892,100653,127613,190106,135565,81797,73688,70192,42922,595,0,0,0
202005,2호선,잠실나루,0,1526,10099,19645,32856,22945,15927,13837,16488,17372,15647,15745,16183,21188,34865,26841,16259,14795,14672,9452,149,0,0,0
202005,2호선,잠실새내,3,890,7595,13927,23881,26868,20823,21178,23132,27498,28717,30569,35322,47629,76670,56599,32105,26539,24704,13909,1640,0,0,0
202005,2호선,종합운동장,0,1044,5775,9688,17542,10566,7253,6553,7589,8489,8829,9740,10487,13855,21269,15848,9838,9235,9908,5876,562,1,0,0
202005,2호선,충정로(경기대입구),2,832,5396,16819,51539,27711,11986,9660,9187,10994,9760,10175,10850,13505,19210,14315,9591,9166,8168,6112,190,0,0,0
202005,2호선,한양대,1,241,5255,9984,29737,23317,15761,10772,12351,13186,11175,8857,8086,8543,10397,6664,4787,4324,4101,3081,14,0,0,0
202005,2호선,합정,2,3023,13378,29766,83437,63267,40504,36991,42369,47876,44925,42734,48420,62472,89650,66399,35537,28204,24555,18431,994,0,0,0
202005,2호선,홍대입구,4,3488,13883,26951,83691,93331,63111,66955,82004,95520,94506,92867,95320,111782,144910,108153,60401,45802,37573,29981,4952,0,0,0
202005,3호선,가락시장,0,682,5077,9101,25509,14166,9834,10127,10262,10846,11658,12881,13680,15962,22205,16788,11034,9124,8717,4800,1282,0,0,0
202005,3호선,경복궁(정부서울청사),13,1274,11937,36606,94710,43625,26947,25692,24257,25799,24370,21330,20763,22171,27471,18821,10477,9042,8398,5577,339,3,0,0
202005,3호선,경찰병원,0,139,3104,7080,25587,12890,7953,6194,7324,8188,8146,8172,8848,11541,18155,15479,9982,8028,7796,4365,1008,0,0,0
202005,3호선,고속터미널,0,3097,25605,41218,66320,86721,77383,80680,78023,81330,84206,87678,85099,91185,103566,69213,39990,28999,20279,12685,469,1,0,0
202005,3호선,교대(법원.검찰청),0,584,5723,18345,43356,30415,13832,10229,9199,9971,9673,8881,8665,11418,15629,8955,4497,3416,2929,2440,40,3,0,0
202005,3호선,구파발,5,1465,8488,19519,25759,24931,24933,20382,21292,23406,23304,23635,28388,35938,61533,54804,31995,28143,23053,22769,2506,0,0,0
202005,3호선,금호,4,578,2622,4182,7889,6411,6089,6421,7441,8292,9301,11391,13470,17899,27191,20608,14473,12437,11300,6621,2,0,0,0
202005,3호선,남부터미널(예술의전당),3,1076,24517,51502,136513,72134,42567,34004,34733,37751,39974,38107,39747,43629,51713,35493,21911,16489,12915,8333,90,0,0,0
202005,3호선,녹번,3,1162,8760,7178,16581,9246,8569,8209,9130,10200,11415,13851,17616,23742,42442,38701,23387,20738,18640,12152,20,0,0,0
202005,3호선,대청,0,1087,6487,10460,19389,11861,6701,6662,7238,8207,9166,10676,11938,15550,22150,20028,12981,11230,12454,7475,133,0,0,0
202005,3호선,대치,0,699,7199,15438,22703,15236,11278,10110,12308,15366,13782,14269,17950,21932,24884,20098,10798,9893,9727,5687,39,0,0,0
202005,3호선,도곡,0,312,3587,10599,18542,14216,6808,5508,5934,5929,5240,5204,5592,6812,8977,7965,4375,4129,3876,2271,1631,0,0,0
202005,3호선,독립문,1,714,4585,11398,18332,13205,13679,9654,9116,10387,9871,10330,10992,12762,15823,13648,8134,7625,7095,4390,4458,2,0,0
202005,3호선,동대입구,0,1000,7567,13574,42914,21692,14024,12178,10182,11428,9752,8014,7847,8960,9996,6317,3912,3992,3243,2215,401,0,0,0
202005,3호선,매봉,0,467,8590,17779,57757,30565,12168,10237,9708,9940,9328,9694,9912,13168,18198,13357,7747,6655,6479,3928,511,0,0,0
202005,3호선,무악재,2,271,1606,2586,5004,3124,3045,3256,3300,3626,4261,4983,6347,7962,13059,11724,7459,6549,5937,4326,1,0,0,0
202005,3호선,불광,2,912,5611,9428,29968,31231,25353,21674,23222,23946,24925,27306,30105,35711,52871,43985,27242,22392,20691,13669,413,1,0,0
202005,3호선,수서,5,1754,12206,24861,45033,28020,19244,15809,18657,18738,20710,21918,24570,29643,41928,32767,23237,17563,18337,8627,778,0,0,0
202005,3호선,신사,2,1297,18325,38542,99138,117123,60277,42531,44998,49058,47834,44296,42976,48108,65530,39612,17937,12581,9117,7079,207,0,0,0
202005,3호선,안국,0,1506,17658,79671,87232,48069,30268,30720,28725,30277,29557,24425,20705,19346,19444,9765,5407,4158,3650,2796,60,1,1,0
202005,3호선,압구정,1,2087,21248,39799,124449,136446,64183,49084,41321,47673,44447,38856,37525,43667,50723,30947,15286,11226,9189,4990,2009,0,0,0
202005,3호선,약수,4,1058,5588,11615,29724,18907,13523,12950,12904,14235,15306,16442,19064,25088,37368,26298,17487,15706,14076,8892,2591,0,0,0
202005,3호선,양재(서초구청),1,2478,35195,91632,215719,108281,49761,41423,36492,43131,38179,37103,37381,49768,66578,45775,28345,23969,19679,12670,1440,0,0,0
202005,3호선,연신내,11,1876,11387,18542,31946,35056,33744,33716,36750,41044,44402,52442,62380,79785,127550,118447,67990,62715,54029,40398,2363,0,1,0
202005,3호선,오금,0,7,1804,4627,12243,5605,4341,3956,4642,5456,5377,6784,7885,11429,18146,14181,10268,8219,8864,5156,1582,0,0,0
202005,3호선,옥수,18,1070,4335,6355,13866,9988,7538,8718,9370,11387,11792,14168,15634,21099,31757,24220,16119,14117,13385,7147,649,0,0,0
202005,3호선,을지로3가,1,824,7815,29798,66537,31456,14510,12263,11031,11903,10595,10396,9942,11546,13748,7869,3524,2315,1495,1376,181,0,0,0
202005,3호선,일원,0,1386,7433,22416,19664,13242,12602,9105,10203,11415,10129,9329,8511,10835,15756,13992,9001,8337,9365,4506,91,0,0,0
202005,3호선,잠원,0,675,4211,6602,9871,6933,4704,5217,5883,7010,6832,7679,8621,11167,17092,13103,8030,7381,8233,4601,10,0,0,0
202005,3호선,종로3가,0,699,4959,13216,42516,42106,27005,20310,20347,19799,19025,17074,14202,13400,13198,7416,3344,2391,1774,1399,200,0,0,0
202005,3호선,지축,0,277,2157,2350,2764,1813,1886,2690,2789,2919,3302,3917,4869,6336,12053,10405,7109,5640,5770,3180,0,0,0,0
202005,3호선,충무로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202005,3호선,학여울,0,218,1700,2821,6029,2996,1969,1511,1814,2050,1939,2037,2102,2780,3780,3206,1805,1657,1775,1088,13,0,0,0
202005,3호선,홍제,1,1527,8728,10669,22624,17760,15885,15752,16562,19012,20063,24430,28338,34296,54552,47254,27575,26522,21627,14853,1,0,0,0
202005,4호선,길음,0,2029,8086,11369,24566,18623,15290,15877,17154,20492,21125,24261,29012,41558,66148,56314,34414,30202,29085,18731,0,1,0,0
202005,4호선,남태령,1,114,950,2849,3688,1368,1161,913,1017,1067,1221,1229,1266,1397,1838,1630,985,901,643,449,42,0,0,0
202005,4호선,노원,6,577,8261,12380,27283,29717,22948,20776,24740,27727,30205,32105,37149,48661,74906,64108,37593,32393,28136,20942,3262,0,0,0
