사용월,호선명,지하철역,04시-05시 승차인원,05시-06시 승차인원,06시-07시 승차인원,07시-08시 승차인원,08시-09시 승차인원,09시-10시 승차인원,10시-11시 승차인원,11시-12시 승차인원,12시-13시 승차인원,13시-14시 승차인원,14시-15시 승차인원,15시-16시 승차인원,16시-17시 승차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,20시-21시 승차인원,21시-22시 승차인원,22시-23시 승차인원,23시-24시 승차인원,00시-01시 승차인원,01시-02시 승차인원,02시-03시 승차인원,03시-04시 승차인원
201905,9호선,마곡나루,16,4352,10429,30146,30528,16588,12493,12545,14416,15007,14607,15964,17748,24573,34156,16842,13491,13376,11489,5549,911,0,0,0
201905,9호선,사평,1,825,3300,10422,12059,8086,5635,5211,5571,5425,4576,5255,7678,7938,7982,5058,3248,2365,1927,697,139,0,0,0
201905,9호선,샛강,15,1043,2304,4845,6223,5554,5081,6014,6912,7853,8311,9660,10246,16203,26191,10994,9664,8466,6530,3541,789,0,0,0
201905,9호선,선유도,0,2416,5823,19454,20182,10928,8462,9108,9464,9502,9162,9627,12079,17690,34071,13649,8140,7178,5677,2464,437,1,0,0
201905,9호선,신논현,6,6392,16573,35943,48509,36155,30984,34362,40445,46315,48602,54507,61744,82248,119562,87887,68131,75523,75359,39797,7080,7,0,0
201905,9호선,신목동,1,2232,7422,21414,20016,10889,7196,6271,6440,5994,5230,5303,6258,7665,7100,3590,2886,2415,2226,941,229,1,0,0
201905,9호선,신반포,3,547,2106,6087,8261,6828,5065,4813,5785,6653,5835,7256,9434,9130,10101,6676,5408,5446,3478,1496,190,1,0,0
201905,9호선,신방화,8,5065,14179,32131,31530,18216,13076,11456,12016,11330,9801,10538,13107,10489,11880,6926,5543,4689,3523,1495,296,0,0,0
201905,9호선,양천향교,2,5107,10765,30119,30615,18505,12968,12668,14376,14324,13596,14304,18041,21879,27661,12758,8313,7431,5436,2495,507,1,0,0
201905,9호선,여의도,13,2445,4956,10293,13398,13426,15242,21197,22229,26532,27970,32329,41167,101086,142730,63902,46869,45390,30151,11163,1767,1,0,0
201905,9호선,염창,26,12535,29492,82387,91209,49307,31678,27264,27082,25245,20756,19254,20542,23858,27874,15331,11971,10771,8667,4264,809,0,0,0
201905,9호선,증미,2,2610,8094,21408,21900,12205,10345,9817,10127,10459,10027,10824,10869,13995,30904,10640,7372,6416,4668,1790,283,0,0,0
201905,9호선,흑석(중앙대입구),5,4342,6842,20340,25209,17705,14995,15515,17871,18715,19049,23150,26246,33809,30752,18763,16610,16993,16811,10284,2311,9,0,0
201905,9호선2~3단계,둔촌오륜,0,163,769,2802,3157,2091,1326,1323,1319,1435,1763,2835,4114,2139,2329,1138,614,629,449,195,50,0,0,0
201905,9호선2~3단계,봉은사,8,1790,5704,10885,11665,10845,11209,17242,22970,27547,32544,39191,44362,63572,97281,55849,41371,39737,28661,8277,1367,0,0,0
